Transaction_ID,Rank
18146831249219924369,1.0
2138086120417120015,2.0
10749529880190657566,3.0
5504117406337296559,4.0
14576478498251562705,5.0
12650979312110428754,6.0
15220656269011568284,7.0
11606027976135787240,8.0
11946780863624372992,9.0
13242122780835237950,10.0
8514025711395164359,11.0
5884040084877088279,12.0
11464849793716808294,13.0
13427124365489376531,14.0
14606398420449001980,15.0
17477822627002586010,16.0
16593208253036894893,17.0
12199637448314099396,18.0
11667323465015229506,19.0
3572758494999806234,20.0
8968471519193219099,21.0
6705557190174478819,22.0
11712459658085811635,23.0
16035782591188414235,24.0
3900920959543636510,25.0
2889183014317454909,26.0
16772650535639646335,27.0
125205472780013095,28.0
5733156814689195098,29.0
18395789026088361200,30.0
3624345723079501114,31.0
2254138966414777895,32.0
4773689929664834315,33.0
5433392825932349029,34.0
10562310768022526962,35.0
6046574781521739100,36.0
10058170014240103528,37.0
5256988241761610322,38.0
7417006556735017730,39.0
4407964993947518096,40.0
607392552675033463,41.0
2037581199645320223,42.0
253391472582289976,43.0
11925281834733599509,44.0
14674169905810019754,45.0
9087581749246433151,46.0
16345264003715491196,47.0
15532227445398185488,48.0
12872064222805330214,49.0
1351133794012357533,50.0
17864653604779033140,51.0
8048659311928300251,52.0
7524651788317141477,53.0
17862035433396441754,54.0
14214683744713212546,55.0
5661851593499052360,56.0
4489318580511847150,57.0
3319098694104553408,58.0
15776084633035806809,59.0
13399355230628984845,60.0
13003530672960145067,61.0
12399389339103732250,62.0
819563005816839519,63.0
11602204409267248601,64.0
4800821411851564788,65.0
9316132816575650656,66.0
15899085010499885565,67.0
13699128096621144256,68.0
11912252136784987953,69.0
15920921469098788156,70.0
3331191498197240050,71.0
1985211443275528908,72.0
2846050452710691018,73.0
7976016318277095202,74.0
7090223767885386391,75.0
6087771206008310590,76.0
2345058930450401295,77.0
6895769961670043523,78.0
15682184393270840960,79.0
17991255270957321533,80.0
3717286652832886649,81.0
6418734110137838124,82.0
9425828148965400244,83.0
662259028692768371,84.0
15290247424331542602,85.0
11704671805406803458,86.0
10012600569902690171,87.0
7390493828037673733,88.0
5134975046907233985,89.0
16299276975868538408,90.0
16976874748700555321,91.0
7761255167667106524,92.0
14473817494716136741,93.0
17322963445287823846,94.0
4055742724212746069,95.0
14243198469901588861,96.0
3754612610631010759,97.0
15175913276331777655,98.0
6239755889674150093,99.0
15344570624302613734,100.0
